,beta,h2_LTMH,h2_GCTA
prev_0.05_h2_0.05,0.1335 (0.0193),0.0474 (0.0376),1.7235e-06 (4.47378837130184e-07)
prev_0.1_h2_0.05,0.1233 (0.0181),0.0336 (0.0339),1.958e-06 (2.00639298403957e-07)
prev_0.2_h2_0.05,0.1194 (0.0144),0.0304 (0.0287),1.827e-06 (3.78341870912595e-07)
prev_0.05_h2_0.2,0.1234 (0.0199),0.2018 (0.0437),1.0085e-06 (9.18257370402846e-08)
prev_0.1_h2_0.2,0.1257 (0.0135),0.2086 (0.0342),1e-06 (0)
prev_0.2_h2_0.2,0.1239 (0.0153),0.1692 (0.0407),1.0055e-06 (7.39762545897098e-08)
prev_0.05_h2_0.4,0.1358 (0.0189),0.4004 (0.0449),1e-06 (0)
prev_0.1_h2_0.4,0.1167 (0.0144),0.3868 (0.0339),1e-06 (0)
prev_0.2_h2_0.4,0.1186 (0.015),0.409 (0.0444),1e-06 (0)
