,beta,h2_LTMH,h2_GCTA
prev_0.05_h2_0.05,0.1226 (0.0223),0.0933 (0.0971),0.1105 (0.1303)
prev_0.1_h2_0.05,0.1281 (0.0181),0.066 (0.0716),0.0734 (0.0828)
prev_0.2_h2_0.05,0.1277 (0.016),0.0584 (0.0538),0.0563 (0.0539)
prev_0.05_h2_0.2,0.1267 (0.0223),0.2184 (0.1282),0.2511 (0.1852)
prev_0.1_h2_0.2,0.1239 (0.019),0.195 (0.0993),0.2111 (0.1219)
prev_0.2_h2_0.2,0.1285 (0.0164),0.2106 (0.0725),0.2115 (0.0775)
prev_0.05_h2_0.4,0.1276 (0.0225),0.423 (0.1315),0.5546 (0.2437)
prev_0.1_h2_0.4,0.1286 (0.0189),0.4181 (0.095),0.4825 (0.1377)
prev_0.2_h2_0.4,0.1295 (0.0164),0.4269 (0.0727),0.4486 (0.085)
